K,k,size,accuracy,precision,recall,f1
2.0,1.0,3000.0,0.7586666666666667,0.7683452853122272,0.7586666666666667,0.7607363262655478
2.0,1.0,3000.0,0.7406666666666667,0.7534417282409361,0.7406666666666667,0.7410145257301932
3.0,1.0,3000.0,0.746,0.7604178149246978,0.746,0.7492789647399949
3.0,1.0,3000.0,0.77,0.7827445287457115,0.77,0.7717076848673146
3.0,1.0,3000.0,0.768,0.7829572702104849,0.768,0.7699682549091029
4.0,1.0,3000.0,0.7466666666666667,0.7653990288007969,0.7466666666666667,0.7501758568372237
4.0,1.0,3000.0,0.7506666666666667,0.7719278630531898,0.7506666666666667,0.7554135371698427
4.0,1.0,3000.0,0.7746666666666666,0.7809343682444113,0.7746666666666666,0.773478473305415
4.0,1.0,3000.0,0.7826666666666666,0.7932440120156037,0.7826666666666666,0.7847409727006224
5.0,1.0,3000.0,0.7833333333333333,0.8028237384676988,0.7833333333333333,0.7863323514632035
5.0,1.0,3000.0,0.775,0.7925615723566058,0.775,0.7791829260944442
5.0,1.0,3000.0,0.76,0.7686514079849924,0.76,0.7589823060558736
5.0,1.0,3000.0,0.7416666666666667,0.7532891447116798,0.7416666666666667,0.7427681762718327
5.0,1.0,3000.0,0.7333333333333333,0.7496140094362749,0.7333333333333333,0.7371111157149529
6.0,1.0,3000.0,0.776,0.7928659945739303,0.776,0.779778268297334
6.0,1.0,3000.0,0.738,0.7544658495633085,0.738,0.7408243861364393
6.0,1.0,3000.0,0.756,0.7692955792498037,0.756,0.7557979485409267
6.0,1.0,3000.0,0.796,0.799336370660677,0.796,0.7948403408979201
6.0,1.0,3000.0,0.782,0.7955215010987124,0.782,0.7850441929762945
6.0,1.0,3000.0,0.764,0.779962605076803,0.764,0.7684828999690908
7.0,1.0,3000.0,0.7715617715617715,0.7768873962922185,0.7715617715617715,0.77111756950508
7.0,1.0,3000.0,0.752913752913753,0.7623783592544122,0.752913752913753,0.7549333703022405
7.0,1.0,3000.0,0.7855477855477856,0.8020815500239803,0.7855477855477856,0.7906349388587821
7.0,1.0,3000.0,0.7738927738927739,0.7872442289558064,0.7738927738927739,0.7773034645053674
7.0,1.0,3000.0,0.7757009345794392,0.7930805915706726,0.7757009345794392,0.7771626345318766
7.0,1.0,3000.0,0.7406542056074766,0.7642660180373068,0.7406542056074766,0.7421864600221538
7.0,1.0,3000.0,0.7546728971962616,0.7690433641200914,0.7546728971962616,0.7554222399525473
8.0,1.0,3000.0,0.7573333333333333,0.7758498420913278,0.7573333333333333,0.7592194143255255
8.0,1.0,3000.0,0.7893333333333333,0.8094773235076145,0.7893333333333333,0.7959959413565454
8.0,1.0,3000.0,0.784,0.7949251887861802,0.784,0.7873417883647069
8.0,1.0,3000.0,0.768,0.7810099706223901,0.768,0.7692418629466744
8.0,1.0,3000.0,0.752,0.7649532589473711,0.752,0.7508324309226772
8.0,1.0,3000.0,0.7573333333333333,0.7707937790460163,0.7573333333333333,0.759673220654016
8.0,1.0,3000.0,0.7733333333333333,0.7887569709406796,0.7733333333333333,0.7743964502718804
8.0,1.0,3000.0,0.744,0.7548701980975767,0.744,0.7454934459037718
9.0,1.0,3000.0,0.7664670658682635,0.7884812625830592,0.7664670658682635,0.7677890799218944
9.0,1.0,3000.0,0.7574850299401198,0.7668185785398299,0.7574850299401198,0.7593643118986465
9.0,1.0,3000.0,0.7485029940119761,0.7726043798868738,0.7485029940119761,0.7510825998839656
9.0,1.0,3000.0,0.7987987987987988,0.8097191256913479,0.7987987987987988,0.8012368287568304
9.0,1.0,3000.0,0.7387387387387387,0.761444548938302,0.7387387387387387,0.7436834984128703
9.0,1.0,3000.0,0.7807807807807807,0.7913687165678582,0.7807807807807807,0.7758258144225515
9.0,1.0,3000.0,0.7987987987987988,0.8154750500851732,0.7987987987987988,0.8015201778641496
9.0,1.0,3000.0,0.7627627627627628,0.7696324837954513,0.7627627627627628,0.7589968620329505
9.0,1.0,3000.0,0.7567567567567568,0.7705154229347778,0.7567567567567568,0.7601485785965444
10.0,1.0,3000.0,0.7666666666666667,0.7803150900163901,0.7666666666666667,0.7678371190195648
10.0,1.0,3000.0,0.7766666666666666,0.7985061509377501,0.7766666666666666,0.7828384106897727
10.0,1.0,3000.0,0.8066666666666666,0.8221621956260114,0.8066666666666666,0.8092155926861809
10.0,1.0,3000.0,0.73,0.7739034120315953,0.73,0.7353918615747068
10.0,1.0,3000.0,0.7866666666666666,0.7980969174993144,0.7866666666666666,0.788704087380599
