K,k,alpha,size,accuracy,precision,recall,f1
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,1.0,1.0,1.0,1.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,1.0,1.0,1.0,1.0
3000.0,5.0,20.0,3000.0,1.0,1.0,1.0,1.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,1.0,1.0,1.0,1.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,1.0,1.0,1.0,1.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,1.0,1.0,1.0,1.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,1.0,1.0,1.0,1.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,1.0,1.0,1.0,1.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,1.0,1.0,1.0,1.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,1.0,1.0,1.0,1.0
3000.0,5.0,20.0,3000.0,1.0,1.0,1.0,1.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,1.0,1.0,1.0,1.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,1.0,1.0,1.0,1.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,1.0,1.0,1.0,1.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,1.0,1.0,1.0,1.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,1.0,1.0,1.0,1.0
3000.0,5.0,20.0,3000.0,1.0,1.0,1.0,1.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
3000.0,5.0,20.0,3000.0,0.0,0.0,0.0,0.0
