size,acc
10,0.1
20,0.36
30,0.42
40,0.52
50,0.42
60,0.48
70,0.74
80,0.78
90,0.66
100,0.56
110,0.6
120,0.66
130,0.72
140,0.66
150,0.64
160,0.62
170,0.78
180,0.7
190,0.68
200,0.74
210,0.64
220,0.64
230,0.76
240,0.74
250,0.78
260,0.76
270,0.72
280,0.8
290,0.8
300,0.82
310,0.78
320,0.68
330,0.74
340,0.8
350,0.8
360,0.78
370,0.8
380,0.78
390,0.78
400,0.86
410,0.8
420,0.76
430,0.82
440,0.82
450,0.8
460,0.82
470,0.8
480,0.72
490,0.78
500,0.84
510,0.82
520,0.8
530,0.86
540,0.84
550,0.86
560,0.82
570,0.8
580,0.88
590,0.88
600,0.82
610,0.78
620,0.78
630,0.88
640,0.84
650,0.74
660,0.82
670,0.78
680,0.82
690,0.86
700,0.82
710,0.78
720,0.82
730,0.82
740,0.82
750,0.84
760,0.78
770,0.86
780,0.82
790,0.8
800,0.78
810,0.84
820,0.84
830,0.84
840,0.86
850,0.78
860,0.84
870,0.82
880,0.88
890,0.86
900,0.82
910,0.9
920,0.84
930,0.88
940,0.86
950,0.88
960,0.8
970,0.86
980,0.8
990,0.88
1000,0.8
1010,0.8
1020,0.86
1030,0.86
1040,0.9
1050,0.82
1060,0.88
1070,0.86
1080,0.86
1090,0.84
1100,0.82
1110,0.84
1120,0.86
1130,0.86
1140,0.86
1150,0.82
1160,0.92
1170,0.8
1180,0.8
1190,0.84
1200,0.9
1210,0.9
1220,0.92
1230,0.88
1240,0.78
1250,0.9
1260,0.88
1270,0.92
1280,0.92
1290,0.86
1300,0.82
1310,0.92
1320,0.88
1330,0.9
1340,0.82
1350,0.86
1360,0.9
1370,0.84
1380,0.8
1390,0.88
1400,0.86
1410,0.84
1420,0.86
1430,0.9
1440,0.88
1450,0.86
1460,0.88
1470,0.86
1480,0.84
1490,0.82
1500,0.92
1510,0.9
1520,0.86
1530,0.78
1540,0.84
1550,0.84
1560,0.78
1570,0.88
1580,0.86
1590,0.84
1600,0.86
1610,0.84
1620,0.9
1630,0.84
1640,0.88
1650,0.94
1660,0.86
1670,0.86
1680,0.84
1690,0.9
1700,0.82
1710,0.84
1720,0.88
1730,0.86
1740,0.92
1750,0.84
1760,0.82
1770,0.84
1780,0.9
1790,0.92
1800,0.82
1810,0.9
1820,0.86
1830,0.9
1840,0.82
1850,0.86
1860,0.9
1870,0.92
1880,0.88
1890,0.9
1900,0.86
1910,0.9
1920,0.9
1930,0.86
1940,0.9
1950,0.88
1960,0.88
1970,0.82
1980,0.9
1990,0.9
2000,0.86
2010,0.8
2020,0.94
2030,0.94
2040,0.88
2050,0.84
2060,0.84
2070,0.88
2080,0.84
2090,0.84
2100,0.9
2110,0.84
2120,0.92
2130,0.9
2140,0.88
2150,0.92
2160,0.86
2170,0.8
2180,0.82
2190,0.9
2200,0.92
2210,0.88
2220,0.92
2230,0.92
2240,0.94
2250,0.82
2260,0.88
2270,0.92
2280,0.92
2290,0.92
2300,0.84
2310,0.88
2320,0.86
2330,0.9
2340,0.86
2350,0.92
2360,0.84
2370,0.96
2380,0.92
2390,0.92
2400,0.88
2410,0.94
2420,0.86
2430,0.86
2440,0.9
2450,0.92
2460,0.86
2470,0.86
2480,0.94
2490,0.84
2500,0.94
2510,0.86
2520,0.86
2530,0.88
2540,0.88
2550,0.9
2560,0.92
2570,0.86
2580,0.88
2590,0.82
2600,0.94
2610,0.86
2620,0.84
2630,0.88
2640,0.82
2650,0.86
2660,0.88
2670,0.84
2680,0.92
2690,0.88
2700,0.86
2710,0.86
2720,0.82
2730,0.88
2740,0.94
2750,0.88
2760,0.92
2770,0.84
2780,0.92
2790,0.86
2800,0.92
2810,0.86
2820,0.88
2830,0.86
2840,0.78
2850,0.92
2860,0.86
2870,0.92
2880,0.92
2890,0.8
2900,0.9
2910,0.8
2920,0.88
2930,0.96
2940,0.86
2950,0.9
2960,0.84
2970,0.86
2980,0.84
2990,0.84
3000,0.88
3010,0.92
3020,0.9
3030,0.92
3040,0.86
3050,0.9
3060,0.9
