K,k,alpha,size,accuracy,precision,recall,f1
10.0,1.0,1.0,3000.0,0.21333333333333335,0.20989421607573927,0.21333333333333335,0.20926315976605217
10.0,100.0,1.0,3000.0,0.3433333333333333,0.34493285924188793,0.3433333333333333,0.2951802404056796
10.0,200.0,1.0,3000.0,0.31,0.2620975951507222,0.31,0.24278070519114736
10.0,300.0,1.0,3000.0,0.30666666666666664,0.21178429507000937,0.30666666666666664,0.23461243185941952
10.0,400.0,1.0,3000.0,0.3,0.20202723614785742,0.3,0.22743404361709893
10.0,500.0,1.0,3000.0,0.30333333333333334,0.20175798091977867,0.30333333333333334,0.2297471264367816
10.0,600.0,1.0,3000.0,0.26,0.1268218609571993,0.26,0.16195261017490642
10.0,700.0,1.0,3000.0,0.26,0.1268218609571993,0.26,0.16195261017490642
10.0,800.0,1.0,3000.0,0.25666666666666665,0.12204055981366907,0.25666666666666665,0.15756138820380944
10.0,900.0,1.0,3000.0,0.25333333333333335,0.12044713314534287,0.25333333333333335,0.1542750772606568
10.0,1000.0,1.0,3000.0,0.25666666666666665,0.12521898182620447,0.25666666666666665,0.15748634575835155
10.0,1100.0,1.0,3000.0,0.25333333333333335,0.12178052028774293,0.25333333333333335,0.15260715899845168
10.0,1200.0,1.0,3000.0,0.25,0.14059780918216772,0.25,0.1588143492875477
10.0,1300.0,1.0,3000.0,0.24666666666666667,0.1318838383838384,0.24666666666666667,0.1526877470355731
10.0,1400.0,1.0,3000.0,0.24333333333333335,0.11371995820271683,0.24333333333333335,0.1436427087405348
10.0,1500.0,1.0,3000.0,0.24,0.16156824244774715,0.24,0.1406388972309044
10.0,1600.0,1.0,3000.0,0.23,0.10405139263381397,0.23,0.1254381740230797
10.0,1700.0,1.0,3000.0,0.23,0.1587097103223174,0.23,0.11968924854206606
10.0,1800.0,1.0,3000.0,0.22666666666666666,0.0653412816556437,0.22666666666666666,0.10140106732348113
10.0,1900.0,1.0,3000.0,0.21666666666666667,0.062524510056558,0.21666666666666667,0.09701126585241904
10.0,2000.0,1.0,3000.0,0.21666666666666667,0.06247818833659783,0.21666666666666667,0.09687828765227022
10.0,2100.0,1.0,3000.0,0.21,0.06048509327115256,0.21,0.09307965535431686
10.0,2200.0,1.0,3000.0,0.20666666666666667,0.05936088034844508,0.20666666666666667,0.09078100777059883
10.0,2300.0,1.0,3000.0,0.20333333333333334,0.060640712312725144,0.20333333333333334,0.09034428118697782
10.0,2400.0,1.0,3000.0,0.20333333333333334,0.06626158951103783,0.20333333333333334,0.09306414568387152
