K,k,alpha,size,accuracy,precision,recall,f1
10.0,1.0,1.0,3000.0,0.23333333333333334,0.2469945037401934,0.23333333333333334,0.2361965510381885
10.0,2.0,1.0,3000.0,0.23333333333333334,0.2469945037401934,0.23333333333333334,0.2361965510381885
10.0,3.0,1.0,3000.0,0.25333333333333335,0.26387105446301473,0.25333333333333335,0.2533520740948819
10.0,4.0,1.0,3000.0,0.2633333333333333,0.2785206512178878,0.2633333333333333,0.26381745579466587
10.0,5.0,1.0,3000.0,0.2633333333333333,0.2715836932839822,0.2633333333333333,0.26079201289248016
10.0,6.0,1.0,3000.0,0.24666666666666667,0.2526610255576227,0.24666666666666667,0.24255885526792853
10.0,8.0,1.0,3000.0,0.24666666666666667,0.2497117128564228,0.24666666666666667,0.24100372457883917
10.0,9.0,1.0,3000.0,0.24,0.23708412798500386,0.24,0.2327296050889225
10.0,11.0,1.0,3000.0,0.26,0.261531596747226,0.26,0.25186538346284254
10.0,13.0,1.0,3000.0,0.26666666666666666,0.26199211100090775,0.26666666666666666,0.25288468171275835
10.0,15.0,1.0,3000.0,0.29333333333333333,0.2829699603251422,0.29333333333333333,0.2755400410698509
10.0,18.0,1.0,3000.0,0.2833333333333333,0.2648138528138528,0.2833333333333333,0.2598080074127039
10.0,21.0,1.0,3000.0,0.30666666666666664,0.2843800891046073,0.30666666666666664,0.2789464231760488
10.0,25.0,1.0,3000.0,0.2866666666666667,0.26068153621601897,0.2866666666666667,0.26135966553235385
10.0,29.0,1.0,3000.0,0.2633333333333333,0.23533722531113838,0.2633333333333333,0.23493362827212158
10.0,34.0,1.0,3000.0,0.2966666666666667,0.2835568612090351,0.2966666666666667,0.2592192181089855
10.0,40.0,1.0,3000.0,0.3,0.2608892447028679,0.3,0.2565682044005402
10.0,47.0,1.0,3000.0,0.2966666666666667,0.2517705689372356,0.2966666666666667,0.24911744717589993
10.0,56.0,1.0,3000.0,0.33,0.2934737890277504,0.33,0.2815655503907174
10.0,66.0,1.0,3000.0,0.32666666666666666,0.2916328847152309,0.32666666666666666,0.2757124698250191
10.0,77.0,1.0,3000.0,0.3233333333333333,0.2866948913532437,0.3233333333333333,0.27167643399395625
10.0,91.0,1.0,3000.0,0.3233333333333333,0.28562585709556915,0.3233333333333333,0.26946568445039176
10.0,107.0,1.0,3000.0,0.30666666666666664,0.28676526100580096,0.30666666666666664,0.25102247153261603
10.0,126.0,1.0,3000.0,0.3,0.2494172545741517,0.3,0.2378862681101597
10.0,148.0,1.0,3000.0,0.29333333333333333,0.266316169210906,0.29333333333333333,0.23558960122913614
10.0,174.0,1.0,3000.0,0.30333333333333334,0.2799918292170233,0.30333333333333334,0.24665163311164487
10.0,204.0,1.0,3000.0,0.31333333333333335,0.2832535187945024,0.31333333333333335,0.25197759192994923
10.0,240.0,1.0,3000.0,0.3233333333333333,0.2790919026328862,0.3233333333333333,0.25624425748714796
10.0,282.0,1.0,3000.0,0.31,0.22065656565656563,0.31,0.22864599264394125
10.0,331.0,1.0,3000.0,0.31,0.22047067901234566,0.31,0.22837816045833917
10.0,389.0,1.0,3000.0,0.31,0.22057466475035686,0.31,0.2301308521271371
10.0,458.0,1.0,3000.0,0.29,0.1337021705958322,0.29,0.18235290687078548
10.0,538.0,1.0,3000.0,0.29,0.1327568871429609,0.29,0.18127565489065128
10.0,632.0,1.0,3000.0,0.29,0.12986110357222555,0.29,0.17828802941158386
10.0,743.0,1.0,3000.0,0.29,0.12923525130108818,0.29,0.1774182618261826
10.0,873.0,1.0,3000.0,0.29,0.12905970695970698,0.29,0.17702359014181962
10.0,1026.0,1.0,3000.0,0.2866666666666667,0.12720299216690797,0.2866666666666667,0.17470597664135346
10.0,1205.0,1.0,3000.0,0.2833333333333333,0.1210554548054548,0.2833333333333333,0.16729388738331827
