K,k,size,accuracy,precision,recall,f1
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,20.0,0.0,0.0,0.0,0.0
10.0,1.0,20.0,0.0,0.0,0.0,0.0
10.0,1.0,20.0,0.0,0.0,0.0,0.0
10.0,1.0,20.0,0.0,0.0,0.0,0.0
10.0,1.0,20.0,0.5,0.5,0.5,0.5
10.0,1.0,20.0,0.5,0.25,0.5,0.3333333333333333
10.0,1.0,20.0,0.5,0.5,0.5,0.5
10.0,1.0,20.0,0.0,0.0,0.0,0.0
10.0,1.0,20.0,0.0,0.0,0.0,0.0
10.0,1.0,20.0,0.5,0.5,0.5,0.5
10.0,1.0,30.0,0.0,0.0,0.0,0.0
10.0,1.0,30.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
10.0,1.0,30.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
10.0,1.0,30.0,0.0,0.0,0.0,0.0
10.0,1.0,30.0,0.6666666666666666,0.5,0.6666666666666666,0.5555555555555555
10.0,1.0,30.0,0.0,0.0,0.0,0.0
10.0,1.0,30.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
10.0,1.0,30.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4444444444444444
10.0,1.0,30.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
10.0,1.0,30.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
10.0,1.0,40.0,0.5,0.375,0.5,0.41666666666666663
10.0,1.0,40.0,0.75,0.75,0.75,0.75
10.0,1.0,40.0,0.5,0.75,0.5,0.5833333333333333
10.0,1.0,40.0,0.5,0.375,0.5,0.41666666666666663
10.0,1.0,40.0,0.75,0.625,0.75,0.6666666666666666
10.0,1.0,40.0,0.25,0.5,0.25,0.3333333333333333
10.0,1.0,40.0,0.25,0.25,0.25,0.25
10.0,1.0,40.0,1.0,1.0,1.0,1.0
10.0,1.0,40.0,0.75,0.75,0.75,0.75
10.0,1.0,40.0,0.5,0.5,0.5,0.5
10.0,1.0,50.0,0.2,0.2,0.2,0.2
10.0,1.0,50.0,0.4,0.4,0.4,0.4
10.0,1.0,50.0,0.4,0.4,0.4,0.4
