K,k,size,accuracy,precision,recall,f1
10.0,1.0,3000.0,0.77,0.7900581637391982,0.77,0.7756221618090234
10.0,2.0,3000.0,0.77,0.7900581637391982,0.77,0.7756221618090234
10.0,3.0,3000.0,0.7933333333333333,0.8106427736563769,0.7933333333333333,0.796400920498288
10.0,4.0,3000.0,0.7933333333333333,0.8084321039030716,0.7933333333333333,0.7959565786411744
10.0,5.0,3000.0,0.78,0.7990938998568913,0.78,0.7810376019801256
10.0,6.0,3000.0,0.7766666666666666,0.7970167241590259,0.7766666666666666,0.7775356408454528
10.0,7.0,3000.0,0.78,0.8014077758498811,0.78,0.7804767552339177
10.0,8.0,3000.0,0.78,0.7997948553389937,0.78,0.7805936762548793
10.0,9.0,3000.0,0.7866666666666666,0.8038159843032122,0.7866666666666666,0.7870177159413371
10.0,10.0,3000.0,0.7733333333333333,0.7889667720566094,0.7733333333333333,0.7725808167859557
10.0,11.0,3000.0,0.7733333333333333,0.7865268294700932,0.7733333333333333,0.7719210612020397
10.0,12.0,3000.0,0.77,0.784833464035945,0.77,0.7693003602994491
10.0,13.0,3000.0,0.7766666666666666,0.788429399552649,0.7766666666666666,0.7750321060336455
10.0,14.0,3000.0,0.7733333333333333,0.7837943727243584,0.7733333333333333,0.7712611343552651
10.0,15.0,3000.0,0.77,0.7823889143763972,0.77,0.7705675983077059
10.0,16.0,3000.0,0.7666666666666667,0.7770685470997065,0.7666666666666667,0.7670952379797621
10.0,17.0,3000.0,0.7666666666666667,0.7795038896256242,0.7666666666666667,0.7683962698743477
10.0,18.0,3000.0,0.7666666666666667,0.7795038896256242,0.7666666666666667,0.7683962698743477
10.0,19.0,3000.0,0.7666666666666667,0.7785680738100176,0.7666666666666667,0.7677907811278236
10.0,20.0,3000.0,0.7666666666666667,0.7790755469212775,0.7666666666666667,0.7685044101634405
10.0,21.0,3000.0,0.7666666666666667,0.7801250532216273,0.7666666666666667,0.7689023511241775
10.0,22.0,3000.0,0.7666666666666667,0.7797580617819703,0.7666666666666667,0.7682712118059819
10.0,23.0,3000.0,0.77,0.7818822954822954,0.77,0.7706985594637579
10.0,24.0,3000.0,0.77,0.7809397910731244,0.77,0.7702983798581041
10.0,25.0,3000.0,0.7666666666666667,0.778314682460318,0.7666666666666667,0.7667750242303581
10.0,26.0,3000.0,0.7666666666666667,0.779598104920211,0.7666666666666667,0.7663506210473343
10.0,27.0,3000.0,0.7666666666666667,0.779598104920211,0.7666666666666667,0.7663506210473343
10.0,28.0,3000.0,0.7733333333333333,0.7837834194718827,0.7733333333333333,0.7727246963038362
10.0,29.0,3000.0,0.7733333333333333,0.7839869364839953,0.7733333333333333,0.7729696917480647
10.0,30.0,3000.0,0.7766666666666666,0.7867987758074625,0.7766666666666666,0.776551477950918
10.0,31.0,3000.0,0.7733333333333333,0.7840890454506733,0.7733333333333333,0.7739392782523729
10.0,32.0,3000.0,0.7666666666666667,0.7814859179018936,0.7666666666666667,0.7689954980676654
10.0,33.0,3000.0,0.7733333333333333,0.7890340384260203,0.7733333333333333,0.7757683791271968
10.0,34.0,3000.0,0.7766666666666666,0.7919172589038868,0.7766666666666666,0.7787485327504913
10.0,35.0,3000.0,0.7733333333333333,0.7896026400432152,0.7733333333333333,0.7760008278538137
10.0,36.0,3000.0,0.78,0.7950044530756398,0.78,0.7824635050819481
10.0,37.0,3000.0,0.7833333333333333,0.7976999121710989,0.7833333333333333,0.7857193665431987
10.0,38.0,3000.0,0.78,0.7944850563451497,0.78,0.7830754253946169
10.0,39.0,3000.0,0.7833333333333333,0.7968625951743015,0.7833333333333333,0.7861231663860199
10.0,40.0,3000.0,0.78,0.7941834971334972,0.78,0.7828384563175804
10.0,41.0,3000.0,0.77,0.7858963132231633,0.77,0.7733029378723859
10.0,42.0,3000.0,0.7766666666666666,0.7915510146053625,0.7766666666666666,0.7798029218822083
10.0,43.0,3000.0,0.7766666666666666,0.7902271622712799,0.7766666666666666,0.7794219201225301
10.0,44.0,3000.0,0.7766666666666666,0.7904089189865052,0.7766666666666666,0.7796271121614485
10.0,45.0,3000.0,0.7733333333333333,0.7879241319682495,0.7733333333333333,0.7768145159526259
10.0,46.0,3000.0,0.77,0.7852372632813808,0.77,0.773162471137986
10.0,47.0,3000.0,0.7733333333333333,0.7883679452830307,0.7733333333333333,0.7754721435664965
10.0,48.0,3000.0,0.77,0.7857821825321825,0.77,0.772679813211666
10.0,49.0,3000.0,0.77,0.7857821825321825,0.77,0.772679813211666
10.0,50.0,3000.0,0.77,0.786844526388644,0.77,0.7731895968552526
10.0,51.0,3000.0,0.7666666666666667,0.7836949476893256,0.7666666666666667,0.7704496793110152
10.0,52.0,3000.0,0.76,0.7785199796178057,0.76,0.7644048951120114
10.0,53.0,3000.0,0.7566666666666667,0.7772708500534588,0.7566666666666667,0.7617933645296292
10.0,54.0,3000.0,0.7533333333333333,0.7744188801439854,0.7533333333333333,0.7582961175500293
10.0,55.0,3000.0,0.7566666666666667,0.7781523906849994,0.7566666666666667,0.7620665880329074
10.0,56.0,3000.0,0.76,0.7805126600452688,0.76,0.7647259048006294
10.0,57.0,3000.0,0.76,0.7805162251076574,0.76,0.7645775949535901
10.0,58.0,3000.0,0.7566666666666667,0.7778977421413483,0.7566666666666667,0.7611474440270594
10.0,59.0,3000.0,0.7466666666666667,0.7669734820332647,0.7466666666666667,0.7510276138947383
10.0,60.0,3000.0,0.75,0.769333751393534,0.75,0.7536661891535156
10.0,61.0,3000.0,0.75,0.769333751393534,0.75,0.7536661891535156
10.0,62.0,3000.0,0.7533333333333333,0.7721620342218168,0.7533333333333333,0.7572317928178488
10.0,63.0,3000.0,0.7466666666666667,0.7670995171592998,0.7466666666666667,0.7511945589131228
10.0,64.0,3000.0,0.75,0.7700060013561065,0.75,0.7547685848871488
10.0,65.0,3000.0,0.7433333333333333,0.767118566409848,0.7433333333333333,0.7490858313332704
10.0,66.0,3000.0,0.7466666666666667,0.7688338168002931,0.7466666666666667,0.7531664259077072
10.0,67.0,3000.0,0.7433333333333333,0.7661469481134243,0.7433333333333333,0.7494028828352276
10.0,68.0,3000.0,0.7466666666666667,0.7685231064580038,0.7466666666666667,0.7525079640633604
10.0,69.0,3000.0,0.7466666666666667,0.7699705363193214,0.7466666666666667,0.7525830783128704
10.0,70.0,3000.0,0.7433333333333333,0.767118566409848,0.7433333333333333,0.7490858313332704
10.0,71.0,3000.0,0.7433333333333333,0.7642220569827415,0.7433333333333333,0.7489004818620124
10.0,72.0,3000.0,0.7466666666666667,0.7676245712142404,0.7466666666666667,0.7523481375511784
10.0,73.0,3000.0,0.75,0.7701752340051778,0.75,0.7555691137900573
10.0,74.0,3000.0,0.7466666666666667,0.7656438097052526,0.7466666666666667,0.7521312270779609
10.0,75.0,3000.0,0.7433333333333333,0.7630931469143153,0.7433333333333333,0.7489102508390818
10.0,76.0,3000.0,0.74,0.7608266659890908,0.74,0.7462102069216465
10.0,77.0,3000.0,0.7366666666666667,0.7563320874002648,0.7366666666666667,0.742827235128278
10.0,78.0,3000.0,0.74,0.7605875949645959,0.74,0.7463991245494884
10.0,79.0,3000.0,0.7433333333333333,0.7650821735534218,0.7433333333333333,0.749782096342857
10.0,80.0,3000.0,0.7433333333333333,0.7633245634641048,0.7433333333333333,0.7494135645188661
10.0,81.0,3000.0,0.7433333333333333,0.7644551619877707,0.7433333333333333,0.7496583580202106
10.0,82.0,3000.0,0.7466666666666667,0.7664137934455053,0.7466666666666667,0.7529694332994058
10.0,83.0,3000.0,0.7433333333333333,0.7623041218305705,0.7433333333333333,0.7495645961045768
10.0,84.0,3000.0,0.7366666666666667,0.7559041218305704,0.7366666666666667,0.7430796205629975
10.0,85.0,3000.0,0.74,0.7596137992499253,0.74,0.7462504678847882
10.0,86.0,3000.0,0.7366666666666667,0.7575042172985903,0.7366666666666667,0.7435444663046444
10.0,87.0,3000.0,0.74,0.7602835276434179,0.74,0.7468632858498792
10.0,88.0,3000.0,0.74,0.7602835276434179,0.74,0.7468632858498792
10.0,89.0,3000.0,0.74,0.761853947921084,0.74,0.7470127248919023
10.0,90.0,3000.0,0.74,0.7614197595274758,0.74,0.7467805667438526
10.0,91.0,3000.0,0.7366666666666667,0.7571642519631447,0.7366666666666667,0.7432086773226421
10.0,92.0,3000.0,0.7333333333333333,0.754032567925708,0.7333333333333333,0.7395263113529985
10.0,93.0,3000.0,0.73,0.7493837474578011,0.73,0.7359845824513694
10.0,94.0,3000.0,0.73,0.7493837474578011,0.73,0.7359845824513694
10.0,95.0,3000.0,0.73,0.7493837474578011,0.73,0.7359845824513694
10.0,96.0,3000.0,0.7333333333333333,0.7527285046997433,0.7333333333333333,0.7396404295682288
10.0,97.0,3000.0,0.7333333333333333,0.7527285046997433,0.7333333333333333,0.7396404295682288
10.0,98.0,3000.0,0.7333333333333333,0.7527285046997433,0.7333333333333333,0.7396404295682288
10.0,99.0,3000.0,0.73,0.748921303770591,0.73,0.7362988207085477
10.0,100.0,3000.0,0.7333333333333333,0.7501115177536742,0.7333333333333333,0.7385553943242691
10.0,101.0,3000.0,0.7333333333333333,0.7486613719557024,0.7333333333333333,0.7381346473802561
10.0,102.0,3000.0,0.7333333333333333,0.7487710493750573,0.7333333333333333,0.7385396846909538
10.0,103.0,3000.0,0.7366666666666667,0.7525782503042093,0.7366666666666667,0.7418812935506349
10.0,104.0,3000.0,0.73,0.7459745466005058,0.73,0.7352747038575908
10.0,105.0,3000.0,0.73,0.7459745466005058,0.73,0.7352747038575908
10.0,106.0,3000.0,0.7333333333333333,0.7504425509024483,0.7333333333333333,0.7389621081101757
10.0,107.0,3000.0,0.7366666666666667,0.7537363585440819,0.7366666666666667,0.7419636395747052
10.0,108.0,3000.0,0.7366666666666667,0.7518447660362424,0.7366666666666667,0.7415810153860569
10.0,109.0,3000.0,0.7333333333333333,0.7480375651070902,0.7333333333333333,0.7382394065263758
10.0,110.0,3000.0,0.7333333333333333,0.7480375651070902,0.7333333333333333,0.7382394065263758
10.0,111.0,3000.0,0.7366666666666667,0.7547170809001191,0.7366666666666667,0.7420799677922946
10.0,112.0,3000.0,0.7366666666666667,0.7539901316223814,0.7366666666666667,0.7414563998357463
10.0,113.0,3000.0,0.7333333333333333,0.7519007750586415,0.7333333333333333,0.7387095263388729
10.0,114.0,3000.0,0.7266666666666667,0.7425137297160562,0.7266666666666667,0.7314248855128928
10.0,115.0,3000.0,0.7266666666666667,0.7425137297160562,0.7266666666666667,0.7314248855128928
10.0,116.0,3000.0,0.7266666666666667,0.7425137297160562,0.7266666666666667,0.7314248855128928
10.0,117.0,3000.0,0.72,0.734295725498052,0.72,0.7241654859618266
10.0,118.0,3000.0,0.7166666666666667,0.7304737583621903,0.7166666666666667,0.7209758632377816
10.0,119.0,3000.0,0.7166666666666667,0.7304737583621903,0.7166666666666667,0.7209758632377816
10.0,120.0,3000.0,0.7133333333333334,0.7277151376725352,0.7133333333333334,0.7179569953132533
10.0,121.0,3000.0,0.7033333333333334,0.7184858997238867,0.7033333333333334,0.7084315168309738
10.0,122.0,3000.0,0.71,0.728226902248423,0.71,0.7162423703937588
10.0,123.0,3000.0,0.71,0.731549451341763,0.71,0.7169357244474104
10.0,124.0,3000.0,0.7033333333333334,0.7239483019674504,0.7033333333333334,0.7099484612786189
10.0,125.0,3000.0,0.7033333333333334,0.7246698319587573,0.7033333333333334,0.7103376122220151
10.0,126.0,3000.0,0.7033333333333334,0.7239239435812334,0.7033333333333334,0.7104376625502058
10.0,127.0,3000.0,0.7033333333333334,0.7272478711156872,0.7033333333333334,0.7115741359801575
10.0,128.0,3000.0,0.7033333333333334,0.7272478711156872,0.7033333333333334,0.7115741359801575
10.0,129.0,3000.0,0.7033333333333334,0.7254199977855892,0.7033333333333334,0.710709805746336
10.0,130.0,3000.0,0.7033333333333334,0.7254199977855892,0.7033333333333334,0.710709805746336
10.0,131.0,3000.0,0.7033333333333334,0.7254199977855892,0.7033333333333334,0.710709805746336
10.0,132.0,3000.0,0.7033333333333334,0.7247160183719323,0.7033333333333334,0.7105751256116558
10.0,133.0,3000.0,0.7066666666666667,0.7280796814905864,0.7066666666666667,0.7139684030757726
10.0,134.0,3000.0,0.7033333333333334,0.7243420857529906,0.7033333333333334,0.7103778659143622
10.0,135.0,3000.0,0.7033333333333334,0.7243420857529906,0.7033333333333334,0.7103778659143622
10.0,136.0,3000.0,0.71,0.7272912354471495,0.71,0.7155520693397822
10.0,137.0,3000.0,0.7066666666666667,0.723802723958638,0.7066666666666667,0.7122075555081705
10.0,138.0,3000.0,0.7033333333333334,0.7216636865254829,0.7033333333333334,0.7089507527870821
10.0,139.0,3000.0,0.7,0.7195229768502904,0.7,0.7063273885379123
10.0,140.0,3000.0,0.6933333333333334,0.7148935245103119,0.6933333333333334,0.7000629447028401
10.0,141.0,3000.0,0.6933333333333334,0.7148935245103119,0.6933333333333334,0.7000629447028401
10.0,142.0,3000.0,0.6966666666666667,0.7185189600503815,0.6966666666666667,0.7033732146072916
10.0,143.0,3000.0,0.7066666666666667,0.7278349626555107,0.7066666666666667,0.7125677935417731
10.0,144.0,3000.0,0.7166666666666667,0.7378130190426938,0.7166666666666667,0.7230531625707283
10.0,145.0,3000.0,0.7166666666666667,0.7378130190426938,0.7166666666666667,0.7230531625707283
10.0,146.0,3000.0,0.7133333333333334,0.7340824731658065,0.7133333333333334,0.7197032247559065
10.0,147.0,3000.0,0.7066666666666667,0.7251092873176206,0.7066666666666667,0.7124007093765996
10.0,148.0,3000.0,0.71,0.728929698790206,0.71,0.7159698671567786
10.0,149.0,3000.0,0.7133333333333334,0.7317259647139469,0.7133333333333334,0.7186442502681247
10.0,150.0,3000.0,0.71,0.7279846046247608,0.71,0.7151675994259663
10.0,151.0,3000.0,0.7066666666666667,0.7251310761165833,0.7066666666666667,0.711735684119051
10.0,152.0,3000.0,0.7033333333333334,0.7208329671065723,0.7033333333333334,0.7083059342742067
10.0,153.0,3000.0,0.7033333333333334,0.7203266726347605,0.7033333333333334,0.7080112603946273
10.0,154.0,3000.0,0.7,0.7185579502138641,0.7,0.7053237337132862
10.0,155.0,3000.0,0.6933333333333334,0.7097075069184081,0.6933333333333334,0.6980238973619358
10.0,156.0,3000.0,0.6866666666666666,0.7026415670062328,0.6866666666666666,0.6912718714095338
10.0,157.0,3000.0,0.69,0.7068300909006391,0.69,0.6947236659917633
10.0,158.0,3000.0,0.69,0.7061301220241996,0.69,0.6943125868748018
10.0,159.0,3000.0,0.69,0.7061301220241996,0.69,0.6943125868748018
10.0,160.0,3000.0,0.69,0.7061301220241996,0.69,0.6943125868748018
10.0,161.0,3000.0,0.69,0.7061301220241996,0.69,0.6943125868748018
10.0,162.0,3000.0,0.6933333333333334,0.709361284220879,0.6933333333333334,0.697427773574894
10.0,163.0,3000.0,0.6966666666666667,0.712168663893178,0.6966666666666667,0.7008094665088258
10.0,164.0,3000.0,0.6966666666666667,0.7094369348379196,0.6966666666666667,0.6995968884266827
10.0,165.0,3000.0,0.6933333333333334,0.7039810906820754,0.6933333333333334,0.695468283881929
10.0,166.0,3000.0,0.69,0.7020706295034691,0.69,0.6928830563500964
10.0,167.0,3000.0,0.6933333333333334,0.7057301412879808,0.6933333333333334,0.6964849741455627
10.0,168.0,3000.0,0.6933333333333334,0.7036232864492711,0.6933333333333334,0.69558909280192
10.0,169.0,3000.0,0.6933333333333334,0.7036232864492711,0.6933333333333334,0.69558909280192
10.0,170.0,3000.0,0.6933333333333334,0.7036232864492711,0.6933333333333334,0.69558909280192
10.0,171.0,3000.0,0.6966666666666667,0.7076016095967119,0.6966666666666667,0.6990830024966477
