K,k,size,accuracy,precision,recall,f1
10.0,1.0,3000.0,0.7766666666666666,0.7861782170101137,0.7766666666666666,0.7761063442668952
10.0,2.0,3000.0,0.7766666666666666,0.7861782170101137,0.7766666666666666,0.7761063442668952
10.0,3.0,3000.0,0.8,0.8072651093807934,0.8,0.7987093743242175
10.0,4.0,3000.0,0.7866666666666666,0.792740041792555,0.7866666666666666,0.7853768085386621
10.0,5.0,3000.0,0.7933333333333333,0.7998967535032638,0.7933333333333333,0.7915330039783804
10.0,6.0,3000.0,0.79,0.7970348172214623,0.79,0.7880036181552251
10.0,8.0,3000.0,0.7966666666666666,0.8070948412698413,0.7966666666666666,0.7961199244124777
10.0,9.0,3000.0,0.8033333333333333,0.8117288466461853,0.8033333333333333,0.802430824415261
10.0,11.0,3000.0,0.8033333333333333,0.8111018305171531,0.8033333333333333,0.8030254870681778
10.0,13.0,3000.0,0.8066666666666666,0.8153688311688312,0.8066666666666666,0.8073639108579187
10.0,15.0,3000.0,0.8066666666666666,0.8149614538239539,0.8066666666666666,0.8071963051454848
10.0,18.0,3000.0,0.81,0.8145988103080494,0.81,0.808527897644653
10.0,21.0,3000.0,0.8133333333333334,0.8171783380018675,0.8133333333333334,0.8099646952564409
10.0,25.0,3000.0,0.8,0.8047105278529566,0.8,0.798572799352866
10.0,29.0,3000.0,0.7966666666666666,0.7996037548185829,0.7966666666666666,0.7943886923524641
10.0,34.0,3000.0,0.8,0.8066369182738807,0.8,0.798542628631409
10.0,40.0,3000.0,0.8,0.8057002302672411,0.8,0.7979497027440469
10.0,47.0,3000.0,0.7933333333333333,0.7962638888888889,0.7933333333333333,0.790557043584526
10.0,56.0,3000.0,0.7766666666666666,0.7815808823529412,0.7766666666666666,0.7724925740851072
10.0,66.0,3000.0,0.7633333333333333,0.7665462457350666,0.7633333333333333,0.7579796160284334
10.0,77.0,3000.0,0.7733333333333333,0.7761935646053294,0.7733333333333333,0.7681066701008136
10.0,91.0,3000.0,0.7533333333333333,0.7587981261578731,0.7533333333333333,0.7478595332946938
10.0,107.0,3000.0,0.75,0.7567219690656557,0.75,0.7468671551472671
10.0,126.0,3000.0,0.75,0.7527063021506079,0.75,0.7459428693061805
10.0,148.0,3000.0,0.74,0.7436237311165155,0.74,0.7356135460158643
10.0,174.0,3000.0,0.7433333333333333,0.7479299702029965,0.7433333333333333,0.7391153877413902
10.0,204.0,3000.0,0.7366666666666667,0.7419999494401022,0.7366666666666667,0.7320956006441139
10.0,240.0,3000.0,0.7266666666666667,0.7346803826005278,0.7266666666666667,0.7231553934661797
10.0,282.0,3000.0,0.7266666666666667,0.7331681639953075,0.7266666666666667,0.7229088587795736
10.0,331.0,3000.0,0.73,0.7349793767953785,0.73,0.7261984131854973
10.0,389.0,3000.0,0.71,0.7210059221406625,0.71,0.7062568321126196
10.0,458.0,3000.0,0.6666666666666666,0.693281499838295,0.6666666666666666,0.6642214565891281
10.0,538.0,3000.0,0.64,0.6763599593813904,0.64,0.638079425904648
10.0,632.0,3000.0,0.5833333333333334,0.6418489902249628,0.5833333333333334,0.5720223727639945
10.0,743.0,3000.0,0.52,0.5889244910281826,0.52,0.4981348067822186
10.0,873.0,3000.0,0.49,0.5660624546818576,0.49,0.4611451162194634
10.0,1026.0,3000.0,0.4666666666666667,0.5442110340262897,0.4666666666666667,0.42852947980931333
10.0,1205.0,3000.0,0.4266666666666667,0.5518527729580361,0.4266666666666667,0.39021238800186164
10.0,1416.0,3000.0,0.39,0.5170676088617264,0.39,0.34638214946997786
10.0,1664.0,3000.0,0.36333333333333334,0.5763679434241609,0.36333333333333334,0.30921173640148475
10.0,1955.0,3000.0,0.33666666666666667,0.46303339797457443,0.33666666666666667,0.26042196021991015
10.0,2297.0,3000.0,0.20333333333333334,0.22317045454545456,0.20333333333333334,0.12046277275837572
10.0,2700.0,3000.0,0.08333333333333333,0.006944444444444443,0.08333333333333333,0.01282051282051282
10.0,1.0,3000.0,0.75,0.7679599687265997,0.75,0.754366043978878
10.0,2.0,3000.0,0.75,0.7679599687265997,0.75,0.754366043978878
10.0,3.0,3000.0,0.76,0.7755527376252951,0.76,0.7617826834122076
10.0,4.0,3000.0,0.7566666666666667,0.7756271334506916,0.7566666666666667,0.758855889501989
10.0,5.0,3000.0,0.7666666666666667,0.7846431368389643,0.7666666666666667,0.7696434288038211
10.0,6.0,3000.0,0.7666666666666667,0.786416554460355,0.7666666666666667,0.7692787541953255
10.0,8.0,3000.0,0.76,0.7814609739573607,0.76,0.7626729620924286
10.0,9.0,3000.0,0.7566666666666667,0.7788093435264926,0.7566666666666667,0.7606413525949693
