K,k,size,accuracy,precision,recall,f1
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,1.0,10.0,0.0,0.0,0.0,0.0
10.0,2.0,20.0,0.5,0.5,0.5,0.5
10.0,2.0,20.0,1.0,1.0,1.0,1.0
10.0,2.0,20.0,1.0,1.0,1.0,1.0
10.0,2.0,20.0,1.0,1.0,1.0,1.0
10.0,2.0,20.0,1.0,1.0,1.0,1.0
10.0,2.0,20.0,0.0,0.0,0.0,0.0
10.0,2.0,20.0,1.0,1.0,1.0,1.0
10.0,2.0,20.0,0.0,0.0,0.0,0.0
10.0,2.0,20.0,0.0,0.0,0.0,0.0
10.0,2.0,20.0,0.5,0.5,0.5,0.5
10.0,3.0,30.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
10.0,3.0,30.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
10.0,3.0,30.0,0.0,0.0,0.0,0.0
10.0,3.0,30.0,1.0,1.0,1.0,1.0
10.0,3.0,30.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
10.0,3.0,30.0,0.0,0.0,0.0,0.0
10.0,3.0,30.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
10.0,3.0,30.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
10.0,3.0,30.0,0.0,0.0,0.0,0.0
10.0,3.0,30.0,0.0,0.0,0.0,0.0
10.0,4.0,40.0,0.5,0.5,0.5,0.5
10.0,4.0,40.0,0.75,0.625,0.75,0.6666666666666666
10.0,4.0,40.0,0.25,0.125,0.25,0.16666666666666666
10.0,4.0,40.0,0.5,0.625,0.5,0.5
10.0,4.0,40.0,0.75,0.75,0.75,0.75
10.0,4.0,40.0,0.5,0.5,0.5,0.5
10.0,4.0,40.0,0.75,1.0,0.75,0.8333333333333333
10.0,4.0,40.0,0.75,0.625,0.75,0.6666666666666666
10.0,4.0,40.0,0.5,0.5,0.5,0.5
10.0,4.0,40.0,0.75,0.625,0.75,0.6666666666666666
10.0,5.0,50.0,0.4,0.26666666666666666,0.4,0.32
10.0,5.0,50.0,0.4,0.3,0.4,0.3333333333333333
10.0,5.0,50.0,0.4,0.5,0.4,0.4
10.0,5.0,50.0,0.6,0.5,0.6,0.5333333333333333
