K,k,size,accuracy,precision,recall,f1
10.0,9.0,10.0,0.0,0.0,0.0,0.0
10.0,9.0,10.0,0.0,0.0,0.0,0.0
10.0,9.0,10.0,0.0,0.0,0.0,0.0
10.0,9.0,10.0,0.0,0.0,0.0,0.0
10.0,9.0,10.0,0.0,0.0,0.0,0.0
10.0,9.0,10.0,0.0,0.0,0.0,0.0
10.0,9.0,10.0,0.0,0.0,0.0,0.0
10.0,9.0,10.0,0.0,0.0,0.0,0.0
10.0,9.0,10.0,0.0,0.0,0.0,0.0
10.0,9.0,10.0,0.0,0.0,0.0,0.0
10.0,18.0,20.0,0.0,0.0,0.0,0.0
10.0,18.0,20.0,0.0,0.0,0.0,0.0
10.0,18.0,20.0,0.0,0.0,0.0,0.0
10.0,18.0,20.0,0.0,0.0,0.0,0.0
10.0,18.0,20.0,0.0,0.0,0.0,0.0
10.0,18.0,20.0,0.0,0.0,0.0,0.0
10.0,18.0,20.0,0.0,0.0,0.0,0.0
10.0,18.0,20.0,0.0,0.0,0.0,0.0
10.0,18.0,20.0,0.0,0.0,0.0,0.0
10.0,18.0,20.0,0.0,0.0,0.0,0.0
10.0,27.0,30.0,0.0,0.0,0.0,0.0
10.0,27.0,30.0,0.0,0.0,0.0,0.0
10.0,27.0,30.0,0.0,0.0,0.0,0.0
10.0,27.0,30.0,0.0,0.0,0.0,0.0
10.0,27.0,30.0,0.0,0.0,0.0,0.0
10.0,27.0,30.0,0.0,0.0,0.0,0.0
10.0,27.0,30.0,0.0,0.0,0.0,0.0
10.0,27.0,30.0,0.0,0.0,0.0,0.0
10.0,27.0,30.0,0.0,0.0,0.0,0.0
10.0,27.0,30.0,0.0,0.0,0.0,0.0
10.0,36.0,40.0,0.0,0.0,0.0,0.0
10.0,36.0,40.0,0.0,0.0,0.0,0.0
10.0,36.0,40.0,0.0,0.0,0.0,0.0
10.0,36.0,40.0,0.0,0.0,0.0,0.0
10.0,36.0,40.0,0.0,0.0,0.0,0.0
10.0,36.0,40.0,0.0,0.0,0.0,0.0
10.0,36.0,40.0,0.0,0.0,0.0,0.0
10.0,36.0,40.0,0.0,0.0,0.0,0.0
10.0,36.0,40.0,0.0,0.0,0.0,0.0
10.0,36.0,40.0,0.0,0.0,0.0,0.0
10.0,45.0,50.0,0.0,0.0,0.0,0.0
10.0,45.0,50.0,0.0,0.0,0.0,0.0
10.0,45.0,50.0,0.0,0.0,0.0,0.0
10.0,45.0,50.0,0.0,0.0,0.0,0.0
10.0,45.0,50.0,0.0,0.0,0.0,0.0
10.0,45.0,50.0,0.0,0.0,0.0,0.0
10.0,45.0,50.0,0.0,0.0,0.0,0.0
10.0,45.0,50.0,0.0,0.0,0.0,0.0
10.0,45.0,50.0,0.0,0.0,0.0,0.0
10.0,45.0,50.0,0.0,0.0,0.0,0.0
10.0,54.0,60.0,0.0,0.0,0.0,0.0
10.0,54.0,60.0,0.0,0.0,0.0,0.0
10.0,54.0,60.0,0.0,0.0,0.0,0.0
10.0,54.0,60.0,0.0,0.0,0.0,0.0
10.0,54.0,60.0,0.0,0.0,0.0,0.0
10.0,54.0,60.0,0.0,0.0,0.0,0.0
10.0,54.0,60.0,0.0,0.0,0.0,0.0
10.0,54.0,60.0,0.0,0.0,0.0,0.0
10.0,54.0,60.0,0.0,0.0,0.0,0.0
10.0,54.0,60.0,0.0,0.0,0.0,0.0
10.0,63.0,70.0,0.0,0.0,0.0,0.0
10.0,63.0,70.0,0.0,0.0,0.0,0.0
10.0,63.0,70.0,0.0,0.0,0.0,0.0
10.0,63.0,70.0,0.0,0.0,0.0,0.0
10.0,63.0,70.0,0.0,0.0,0.0,0.0
10.0,63.0,70.0,0.0,0.0,0.0,0.0
10.0,63.0,70.0,0.0,0.0,0.0,0.0
10.0,63.0,70.0,0.0,0.0,0.0,0.0
10.0,63.0,70.0,0.0,0.0,0.0,0.0
10.0,63.0,70.0,0.0,0.0,0.0,0.0
10.0,72.0,80.0,0.0,0.0,0.0,0.0
10.0,72.0,80.0,0.0,0.0,0.0,0.0
10.0,72.0,80.0,0.0,0.0,0.0,0.0
10.0,72.0,80.0,0.0,0.0,0.0,0.0
10.0,72.0,80.0,0.0,0.0,0.0,0.0
