size,time,k
1.0,0.00010319255000013072,1.0
2.0,0.00011907154998880287,2.0
3.0,0.00013240490000043792,3.0
4.0,0.00014577330000520305,4.0
5.0,0.00015505154999573278,5.0
6.0,0.00017502420000710118,6.0
7.0,0.00015769545000239306,7.0
8.0,0.00017118304999712563,8.0
9.0,0.0001858338500142054,9.0
10.0,0.00018848424999760028,10.0
11.0,0.0002035458000136714,11.0
12.0,0.00033841345000382714,12.0
13.0,0.00028101845000492174,13.0
14.0,0.00044776924999041513,14.0
15.0,0.000422961099980057,15.0
16.0,0.0003276156999845625,16.0
17.0,0.0003126137499975812,17.0
18.0,0.00030403074999867384,18.0
19.0,0.00031609969998953603,19.0
20.0,0.0005145651000020735,20.0
21.0,0.0003364260499893135,21.0
22.0,0.00036340680001103467,22.0
23.0,0.00036533340000914903,23.0
24.0,0.0003796054000076765,24.0
25.0,0.0003910982999968837,25.0
26.0,0.000405468550002297,26.0
27.0,0.00042037584998979585,27.0
28.0,0.00044360254998991876,28.0
29.0,0.0004812876499954655,29.0
30.0,0.0004891573000122662,30.0
31.0,0.000504189749995021,31.0
32.0,0.0005164931500075909,32.0
33.0,0.0005408063999993828,33.0
34.0,0.000523539300002085,34.0
35.0,0.0005354268500013859,35.0
36.0,0.0005455938500062985,36.0
37.0,0.0005580520499961494,37.0
38.0,0.0005777752000085456,38.0
39.0,0.0005884710999907838,39.0
40.0,0.0006239882499812666,40.0
41.0,0.0006526249999978973,41.0
42.0,0.0006776456500119821,42.0
43.0,0.0006615671499957898,43.0
44.0,0.0006840615000101025,44.0
45.0,0.0006893558499996288,45.0
46.0,0.0007909955000059199,46.0
47.0,0.000692256349998388,47.0
48.0,0.0007222781000109535,48.0
49.0,0.0007246129500117604,49.0
50.0,0.0007413596000105827,50.0
51.0,0.0007497822999994241,51.0
52.0,0.0008007311500023206,52.0
53.0,0.000810984700001427,53.0
54.0,0.0008155857500014463,54.0
55.0,0.0008308056000032593,55.0
56.0,0.0008509701000093628,56.0
57.0,0.0008404796000149872,57.0
58.0,0.0008582231499985937,58.0
59.0,0.0008670360499991147,59.0
60.0,0.0009009025000068505,60.0
61.0,0.0009461503000011362,61.0
62.0,0.000913660750006784,62.0
63.0,0.0009179869000035979,63.0
64.0,0.0009508760000016992,64.0
65.0,0.0010031951499968272,65.0
66.0,0.0009874691500044719,66.0
67.0,0.000989241199999924,67.0
68.0,0.0010099294499923417,68.0
69.0,0.0010478840500127262,69.0
70.0,0.001069000849997792,70.0
71.0,0.0010917430999825227,71.0
72.0,0.0010753200999943147,72.0
73.0,0.0010874321499841245,73.0
74.0,0.0011000581999951464,74.0
75.0,0.001102159600009145,75.0
76.0,0.0011291984499848696,76.0
77.0,0.0011836933000040518,77.0
78.0,0.0011941703500042422,78.0
79.0,0.0011572460500019587,79.0
80.0,0.0011889067500078453,80.0
81.0,0.0011847347500179239,81.0
82.0,0.0012404532000118706,82.0
83.0,0.0012209106000000247,83.0
84.0,0.001241322049986593,84.0
85.0,0.0012382763499999782,85.0
86.0,0.0012697864999836384,86.0
87.0,0.0012714927000160969,87.0
88.0,0.0013239898499932679,88.0
89.0,0.0014079821999985142,89.0
90.0,0.0013744018000124924,90.0
91.0,0.0013468419000219,91.0
92.0,0.0013687917499964897,92.0
93.0,0.001410330049998265,93.0
94.0,0.0014029217999905086,94.0
95.0,0.0013855089000117005,95.0
96.0,0.0014277119000098537,96.0
97.0,0.0014302972499990573,97.0
98.0,0.0014561488500021368,98.0
99.0,0.001492334149997987,99.0
100.0,0.0015064043499933178,100.0
101.0,0.001470974449989626,101.0
102.0,0.0015085731499993927,102.0
103.0,0.0015505327500022759,103.0
104.0,0.0015244920499981162,104.0
105.0,0.0015283926999927644,105.0
106.0,0.0015739451500166978,106.0
107.0,0.001589707899984205,107.0
108.0,0.001603956650001237,108.0
109.0,0.0016508997999835628,109.0
110.0,0.0016274831499913489,110.0
111.0,0.00164898569998968,111.0
112.0,0.0016622128000108205,112.0
113.0,0.0016756708000002618,113.0
114.0,0.0016816735500015056,114.0
115.0,0.0017549324000128764,115.0
116.0,0.0017465452999886112,116.0
117.0,0.001708812049992048,117.0
118.0,0.0017147007999938069,118.0
119.0,0.0018703092500118145,119.0
120.0,0.0017728301500028465,120.0
121.0,0.0017731262000097558,121.0
122.0,0.0017724770500080922,122.0
123.0,0.001814446649996171,123.0
124.0,0.0018278300000019953,124.0
125.0,0.0018465056999957597,125.0
126.0,0.0018784141999958592,126.0
127.0,0.001908980849998443,127.0
128.0,0.001898503149982389,128.0
129.0,0.0019220643499920699,129.0
130.0,0.0020940404500151997,130.0
131.0,0.0022700018500017905,131.0
132.0,0.002102508249981838,132.0
133.0,0.0020968180499949087,133.0
134.0,0.0021000325499926477,134.0
135.0,0.0021603423499982457,135.0
136.0,0.0021423873999992793,136.0
137.0,0.0021573482499888997,137.0
138.0,0.002187033500013058,138.0
139.0,0.0021719990000065082,139.0
140.0,0.0022315578499956246,140.0
141.0,0.002194814000017686,141.0
142.0,0.002246087899993654,142.0
143.0,0.0022354252500008443,143.0
144.0,0.0022451667499808537,144.0
145.0,0.002250647849996312,145.0
146.0,0.0022638301499910084,146.0
147.0,0.002335631200003263,147.0
148.0,0.0023631360999843308,148.0
149.0,0.002383217050009989,149.0
150.0,0.002367441249998592,150.0
151.0,0.0023516097000083392,151.0
152.0,0.002394298750004964,152.0
153.0,0.0024314751500014607,153.0
154.0,0.002506489949996649,154.0
155.0,0.002475040450008237,155.0
156.0,0.002467938199993114,156.0
157.0,0.002463751499999489,157.0
158.0,0.0024533861500003694,158.0
159.0,0.002601493649990516,159.0
160.0,0.0025033636499983913,160.0
161.0,0.00251925330001086,161.0
162.0,0.0025453488000039214,162.0
163.0,0.002525601050001569,163.0
164.0,0.0025864124500003527,164.0
165.0,0.002587017599989849,165.0
