x,y,z
9.687557,0.76767427,10.754086
9.90609,6.7478657,8.560207
8.499,5.289775,7.0122414
2.5373561,0.036586028,14.313694
7.245012,0.75560975,2.7127738
3.7873125,10.169108,2.791293
8.321432,4.8548408,11.954497
6.4227996,0.22414678,3.5052125
-0.8738562,10.801784,2.475391
7.6552095,4.248858,11.5542755
9.911247,2.2171066,9.792913
10.977779,3.953492,13.080419
1.4439094,0.56698966,13.567313
-5.1642385,2.1747022,12.206801
8.321503,6.0933614,12.827882
10.97423,4.6396146,7.9375935
9.288854,1.3995446,13.506609
4.9191895,-0.14588526,0.37392625
10.836811,1.081912,11.610896
7.4810696,0.6232196,10.73771
10.666415,3.5852554,11.360923
1.8346558,1.6200824,12.82036
1.4987328,5.396153,3.317057
0.65881205,1.1639887,2.7457643
8.47779,2.5464017,12.985922
11.332753,1.8557359,9.383269
0.106839836,-1.4679149,7.5394907
4.474701,0.693983,1.1677872
4.0173264,-1.6365844,-2.459028
9.331897,4.5296493,6.361864
6.4938865,0.8973644,2.5946188
11.90073,2.176521,12.946365
10.8939085,2.7125177,12.664465
1.4969627,2.0641055,13.583482
9.413755,1.5445714,10.074115
10.441699,5.3622437,9.209219
1.1875372,2.6701336,13.753863
7.356631,3.1809118,6.691485
9.043442,3.9427116,12.593542
8.964024,2.2646983,9.605952
8.138436,1.2289801,6.4651017
7.4049735,2.201705,7.3091545
8.55517,5.9649043,12.662206
2.6680813,4.367291,0.39013156
3.1069071,-2.2172167,1.9943496
11.670575,2.998584,9.354257
1.8704382,3.7727728,4.9922104
8.671747,4.1006775,6.487398
7.6337094,5.887694,3.2030303
11.316266,2.4533515,11.956737
9.376454,3.8022683,8.095358
3.6488628,-2.7885866,-0.32999983
9.031501,4.1653695,9.161054
9.130106,2.0905728,8.370623
11.165789,2.486537,11.894487
7.998689,7.3056583,9.996631
3.9867814,-1.7481217,-0.62344843
7.046356,0.6363053,3.4878073
9.211065,4.1593094,6.5666327
5.9624424,4.184407,5.1813045
7.746096,1.0799953,5.6282883
8.323728,3.9555602,7.28387
9.463832,5.3664646,11.534664
8.505061,3.2270925,8.251629
1.5196133,3.3697586,5.15971
7.401331,3.1693392,0.14569303
6.7782288,0.922452,3.6256237
8.744444,4.1982074,8.257679
5.29131,-0.13374083,1.8324486
6.1433005,4.688999,5.030591
-11.777459,-3.9837596,2.0804791
7.699032,1.5875357,3.4252977
6.8928576,1.9001261,0.86219156
12.731768,4.5494595,11.987545
3.6000962,6.088402,5.9371095
10.620757,4.32017,12.168091
6.7205873,-0.013276504,1.8616309
8.668361,1.5416158,3.8261545
5.519244,5.2704573,9.725875
6.3951178,3.3239837,2.0857527
3.9682708,-1.0218015,-0.05967687
9.777098,1.5830122,12.635324
7.1718493,0.80217844,12.995334
8.929092,4.8686123,11.382029
1.2401406,0.6746585,13.755546
4.0297256,4.540115,5.388838
10.513009,4.157311,12.296037
4.893088,6.4578466,-1.479852
4.0024986,6.3521214,3.6323187
6.21519,2.6508386,7.790891
11.461243,5.9315534,10.295373
6.307527,0.6328922,-1.5745873
11.416247,1.2194409,11.054387
12.348687,1.7643191,12.412501
7.050593,2.2948112,7.1537085
8.3186,7.820412,9.58259
7.0905805,3.1210055,6.3446035
0.54449236,4.1412244,13.056078
2.424597,0.48874784,5.300539
7.601978,7.935296,7.982406
8.496872,7.279344,10.53345
13.332806,4.4323187,12.120522
10.349008,6.749066,10.467985
6.576971,1.433684,3.4187284
7.887739,1.7831867,3.6744804
6.419857,2.870078,6.869621
10.499148,5.371061,8.789184
6.1788073,11.6128235,0.0022143822
8.505662,2.2220204,11.506204
7.381784,2.765553,8.030757
5.9091306,0.77448153,0.17088903
9.064204,1.9797909,13.405305
-0.04352799,10.740178,2.3790922
8.169182,2.680277,12.630775
3.8202658,1.5308609,-0.56005937
2.276675,0.70764875,14.755532
0.71203905,5.419451,4.1696434
5.668017,1.402544,1.8234223
9.113304,2.0739682,6.5848274
